"city_id","city_name","city_alternate_name","city_lat","city_lng"
"2035801","Meihekou","Meihekou","42.52722","125.67528"
"2035836","Manzhouli","Manzhouli","49.60000","117.43333"
"2035966","Longjing","Longjing","42.77139","129.42333"
"2035970","Longjiang","Longjiang","47.33072","123.17816"
"2035980","Longfeng","Longfeng","46.53168","125.10380"
"2036033","Liuhe","Liuhe","42.24007","125.71717"
"2036055","Lishu","Lishu","43.30472","124.32778"
"2036066","Linkou","Linkou","45.28606","130.26151"
"2036069","Linjiang","Linjiang","41.80694","126.90778"
"2036075","Lingyuan","Lingyuan","41.24000","119.40111"
"2036081","Lingdong","Lingdong","46.56694","131.14528"
"2036106","Liaozhong","Liaozhong","41.50611","122.72417"
"2036109","Liaoyuan","Liaoyuan","42.90361","125.13583"
"2036113","Liaoyang","Liaoyang","41.27194","123.17306"
"2036226","Lanxi","Lanxi","46.25785","126.28269"
"2036237","Langxiang","Langxiang","46.94985","128.86849"
"2036241","Langtou","Langtou","40.02611","124.32861"
"2036283","Kuandian","Kuandian","40.72861","124.78472"
"2036337","Kaiyuan","Kaiyuan","42.53306","124.04028"
"2036338","Kaitong","Kaitong","44.81351","123.15000"
"2036389","Jixi","Jixi","45.30109","130.95718"
"2036401","Jiutai","Jiutai","44.15250","125.83278"
"2036403","Jiupu","Jiupu","41.06667","122.95000"
"2036418","Jishu","Jishu","44.31667","126.80000"
"2036427","Jinzhou","Jinzhou","41.10778","121.14167"
"2036434","Lianshan","Lianshan","40.76432","120.85327"
"2036458","Jining","Jining","41.02750","113.10583"
"2036502","Jilin","Jilin","43.85083","126.56028"
"2036519","Jidong","Jidong","45.21667","131.08333"
"2036536","Minzhu","Minzhu","43.72145","127.33401"
"2036581","Jiamusi","Jiamusi","46.79927","130.31633"
"2036595","Jalai Nur","Jalai Nur","49.45000","117.70000"
"2036597","Jagdaqi","Jagdaqi","50.41667","124.11667"
"2036619","Hushitai","Hushitai","41.93222","123.51139"
"2036653","Hunchun","Hunchun","42.86750","130.35806"
"2036670","Hulan Ergi","Hulan Ergi","47.20417","123.63333"
"2036671","Hulan","Hulan","45.98333","126.60000"
"2036685","Huinan","Huinan","42.62250","126.26139"
"2036713","Huanren","Huanren","41.26472","125.36667"
"2036734","Huangnihe","Huangnihe","43.55833","128.02389"
"2036753","Huanan","Huanan","46.22070","130.52500"
"2036776","Huadian","Huadian","42.96333","126.74778"
"2036876","Honggang","Honggang","46.40124","124.88322"
"2036892","Hohhot","Hohhot","40.81056","111.65222"
"2036920","Fendou","Fendou","45.21235","130.90254"
"2036933","Helong","Helong","42.53974","128.99722"
"2036959","Heishan","Heishan","41.68917","122.11278"
"2036973","Heihe","Heihe","50.24413","127.49016"
"2036986","Hegang","Hegang","47.35118","130.30012"
"2037013","Harbin","Harbin","45.75000","126.65000"
"2037069","Hailun","Hailun","47.45650","126.95368"
"2037075","Hailin","Hailin","44.57149","129.38539"
"2037078","Hailar","Hailar","49.20000","119.70000"
"2037086","Haicheng","Haicheng","40.85158","122.74754"
"2037222","Gongzhuling","Gongzhuling","43.50075","124.81979"
"2037240","Gongchangling","Gongchangling","41.11667","123.45000"
"2037252","Genhe","Genhe","50.78333","121.51667"
"2037311","Gannan","Gannan","47.91472","123.50306"
"2037330","Fuyuan","Fuyuan","48.36306","134.28917"
"2037334","Fuyu","Fuyu","47.79756","124.45731"
