"appearance_id","book_id","city_id"
"3917","19","339219"
"3918","19","344420"
"3919","19","347612"
"3920","19","360630"
"3921","19","361058"
"3922","19","377241"
"3923","19","492944"
"3924","19","561731"
"3925","19","572665"
"3926","19","581671"
"3927","19","668732"
"3928","19","679452"
"3929","19","679550"
"3930","19","686254"
"3931","19","686502"
"3932","19","712861"
"3933","19","729581"
"3934","19","741240"
"3935","19","749795"
"3936","19","792456"
"3937","19","833262"
"3938","19","910111"
"3939","19","933685"
"3940","19","997151"
"3941","19","1150490"
"3942","19","1163927"
"3943","19","1164076"
"3944","19","1170013"
"3945","19","1171757"
"3946","19","1182998"
"3947","19","1252885"
"3948","19","1252887"
"3949","19","1253013"
"3950","19","1253785"
"3951","19","1253786"
"3952","19","1254046"
"3953","19","1254054"
"3954","19","1254675"
"3955","19","1255364"
"3956","19","1258061"
"3957","19","1259931"
"3958","19","1262775"
"3959","19","1262824"
"3960","19","1263862"
"3961","19","1265053"
"3962","19","1269751"
"3963","19","1269927"
"3964","19","1276574"
"3965","19","1276764"
"3966","19","1276765"
"3967","19","1276767"
"3968","19","1277841"
"3969","19","1278532"
"3970","19","1278969"
"3971","19","1513023"
"3972","19","1519030"
"3973","19","1631992"
"3974","19","1644932"
"3975","19","1680018"
"3976","19","1694498"
"3977","19","1698103"
"3978","19","1712808"
"3979","19","1726156"
"3980","19","1730097"
"3981","19","1733782"
"3982","19","1816338"
"3983","19","1840982"
"3984","19","1849069"
"3985","19","2062944"
"3986","19","2090990"
"3987","19","2113115"
"3988","19","2130421"
"3989","19","2157343"
"3990","19","2179537"
"3991","19","2210247"
"3992","19","2216645"
"3993","19","2217351"
"3994","19","2284647"
"3995","19","2294206"
"3996","19","2300379"
"3997","19","2318044"
"3998","19","2319133"
"3999","19","2319480"
"4000","19","2320920"
"4001","19","2328952"
"4002","19","2335204"
"4003","19","2335953"
"4004","19","2344600"
"4005","19","2347330"
"4006","19","2347592"
"4007","19","2356454"
"4008","19","2358382"
"4009","19","2366152"
"4010","19","2391893"
"4011","19","2394814"
"4012","19","2394824"
"4013","19","2403094"
"4014","19","2410048"
"4015","19","2429296"
"4016","19","2437798"
"4017","19","2441291"
"4018","19","2451778"
"4019","19","2464470"
"4020","19","2479609"
"4021","19","2514256"
"4022","19","2518878"
"4023","19","2530335"
"4024","19","2634573"
"4025","19","2634579"
"4026","19","2634715"
"4027","19","2634739"
"4028","19","2636910"
"4029","19","2639996"
"4030","19","2640729"
"4031","19","2643071"
"4032","19","2643743"
"4033","19","2644204"
"4034","19","2646327"
"4035","19","2649957"
"4036","19","2650225"
"4037","19","2657996"
"4038","19","2661169"
"4039","19","2761369"
"4040","19","2761524"
"4041","19","2783985"
"4042","19","2790869"
"4043","19","2791067"
"4044","19","2797656"
"4045","19","2803010"
"4046","19","2810833"
"4047","19","2849548"
"4048","19","2907911"
"4049","19","2908032"
"4050","19","2911298"
"4051","19","2918752"
"4052","19","2946447"
"4053","19","2950159"
"4054","19","2972328"
"4055","19","2972350"
"4056","19","2988358"
"4057","19","2988507"
"4058","19","2996944"
"4059","19","3052241"
"4060","19","3053281"
"4061","19","3058780"
"4062","19","3070291"
"4063","19","3106050"
"4064","19","3117409"
"4065","19","3118532"
"4066","19","3167044"
"4067","19","3169070"
"4068","19","3173775"
"4069","19","3181631"
"4070","19","3204509"
"4071","19","3359510"
"4072","19","3394549"
"4073","19","3395380"
"4074","19","3427761"
"4075","19","3468802"
"4076","19","3470821"
"4077","19","3471196"
"4078","19","3553478"
"4079","19","3563843"
"4080","19","3618030"
"4081","19","3645213"
"4082","19","3667991"
"4083","19","3675605"
"4084","19","3687925"
"4085","19","3689560"
"4086","19","3712076"
"4087","19","3832934"
"4088","19","3868326"
"4089","19","3935572"
"4090","19","3982616"
"4091","19","3995050"
"4092","19","3996299"
"4093","19","4081914"
"4094","19","4160610"
"4095","19","4171563"
"4096","19","4174425"
"4097","19","4177703"
"4098","19","4180386"
"4099","19","4188985"
"4100","19","4219762"
"4101","19","4256038"
"4102","19","4305504"
"4103","19","4314550"
"4104","19","4319435"
"4105","19","4373238"
"4106","19","4386387"
"4107","19","4407066"
"4108","19","4422442"
"4109","19","4440076"
"4110","19","4467657"
"4111","19","4499389"
"4112","19","4505542"
"4113","19","4509177"
"4114","19","4520760"
"4115","19","4521816"
"4116","19","4529096"
"4117","19","4535389"
"4118","19","4542975"
